Unique_ID,THC,CBD,Ratio
HDGS_2,0.69,0,0
HDGS_3,0,0.19,na
HDGS_4,1.58,1.49,0.9430379747
HDGS_5,0.39,7.23,18.5384615385
HDGS_6,0.53,10.11,19.0754716981
HDGS_7,0.83,0.82,0.9879518072
HDGS_8,0.61,12.23,20.0491803279
HDGS_9,0.68,0,0
HDGS_11,0.52,10.27,19.75
HDGS_12,0.73,15.76,21.5890410959
HDGS_13,0.54,10.81,20.0185185185
HDGS_15,0.36,6.37,17.6944444444
HDGS_16,0.11,1.87,17
HDGS_18,0.2,0,0
HDGS_19,0.28,4.83,17.25
HDGS_21,0,0.92,na
HDGS_22,0.12,2.36,19.6666666667
HDGS_24,0.1,1.79,17.9
HDGS_25,1.49,1.28,0.8590604027
HDGS_26,0.79,16.66,21.0886075949
HDGS_29,0.28,4.7,16.7857142857
HDGS_31,0.64,12.66,19.78125
HDGS_32,0.14,3.45,24.6428571429
HDGS_33,0.45,9.05,20.1111111111
HDGS_34,0.17,3.99,23.4705882353
HDGS_35,0.3,5.3,17.6666666667
HDGS_36,1.77,2.99,1.6892655367
HDGS_37,0.36,0.65,1.8055555556
HDGS_40,0.37,6.85,18.5135135135
HDGS_41,0.1,2.13,21.3
HDGS_42,5.41,7.03,1.2994454713
HDGS_43,0.62,12.8,20.6451612903
HDGS_46,0.66,0,0
HDGS_47,0.51,8.69,17.0392156863
HDGS_48,0.18,4.88,27.1111111111
HDGS_49,0.22,5.63,25.5909090909
HDGS_50,0.5,9.97,19.94
HDGS_52,5.21,8.63,1.6564299424
HDGS_53,0.24,4.3,17.9166666667
HDGS_54,0.47,9.08,19.3191489362
HDGS_57,0.25,5.65,22.6
HDGS_58,0,0.18,na
HDGS_59,1.56,0,0
HDGS_61,0.27,6.94,25.7037037037
HDGS_62,0.17,4.06,23.8823529412
HDGS_63,0.59,12.3,20.8474576271
HDGS_66,0.14,3.47,24.7857142857
HDGS_67,0.53,10.89,20.5471698113
HDGS_68,0.34,0,0
HDGS_69,0.54,11.38,21.0740740741
HDGS_70,0.44,8.56,19.4545454545
HDGS_72,0.62,12.51,20.1774193548
HDGS_74,0.16,3.95,24.6875
HDGS_75,0.36,7.09,19.6944444444
HDGS_77,4.05,4,0.987654321
HDGS_78,0,0,na
HDGS_79,0.47,9.86,20.9787234043
HDGS_80,0.17,4.63,27.2352941176
HDGS_82,0.46,9.08,19.7391304348
HDGS_83,4.41,5.64,1.2789115646
HDGS_85,0.22,5.38,24.4545454545
HDGS_86,0.28,5.09,18.1785714286
HDGS_87,0.23,5.88,25.5652173913
HDGS_89,0.36,6.82,18.9444444444
HDGS_90,0.13,2.84,21.8461538462
HDGS_91,0.53,10.94,20.641509434
HDGS_92,0.5,9.5,19
HDGS_93,0.46,0,0
HDGS_95,0.61,13.46,22.0655737705
HDGS_97,0.28,5.33,19.0357142857
HDGS_98,0,0.22,na
HDGS_99,0.39,7.85,20.1282051282
HDGS_101,0.69,15.46,22.4057971014
HDGS_102,0.62,13.05,21.0483870968
HDGS_104,0.67,13.98,20.8656716418
HDGS_105,0.48,10.29,21.4375
HDGS_106,0.48,9.81,20.4375
HDGS_107,0,0.74,na
HDGS_108,0.45,0,0
HDGS_109,0.36,7.53,20.9166666667
HDGS_112,0.34,6.56,19.2941176471
HDGS_114,0.33,8.01,24.2727272727
HDGS_116,0.49,10.51,21.4489795918
HDGS_117,0.56,11.41,20.375
HDGS_121,0.24,5.14,21.4166666667
HDGS_122,0.59,12.58,21.3220338983
HDGS_123,0,0.14,na
HDGS_124,0.55,11.21,20.3818181818
HDGS_125,0.52,11.16,21.4615384615
HDGS_126,0.93,0.92,0.9892473118
HDGS_127,0.15,0,0
HDGS_129,0.12,2.82,23.5
HDGS_130,0.31,8.18,26.3870967742
HDGS_131,0.49,12.48,25.4693877551
HDGS_132,0.45,9.43,20.9555555556
HDGS_134,0.36,7.16,19.8888888889
HDGS_135,0.6,12.96,21.6
HDGS_136,0,0.32,na
HDGS_137,0.16,4.08,25.5
HDGS_138,4.37,2.59,0.5926773455
HDGS_140,0.42,8.59,20.4523809524
HDGS_141,0.15,3.56,23.7333333333
HDGS_142,0.65,13.13,20.2
HDGS_143,2.57,0,0
HDGS_145,0.72,15.56,21.6111111111
HDGS_147,0.09,2.03,22.5555555556
HDGS_148,0.54,11.6,21.4814814815
HDGS_149,4.72,5.17,1.0953389831
HDGS_150,0,1.57,na
HDGS_152,0.49,10.56,21.5510204082
HDGS_154,0.13,3.29,25.3076923077
HDGS_155,0.21,5.87,27.9523809524
HDGS_156,2.7,0,0
HDGS_157,0.45,9.7,21.5555555556
HDGS_158,0.47,10.05,21.3829787234
HDGs_159,0.56,12.32,22
HDGS_160,0.48,9.44,19.6666666667
HDGS_163,0,1.93,na
HDGS_164,0.52,11.09,21.3269230769
HDGS_165,0.22,4.66,21.1818181818
HDGS_166,0.33,6.17,18.696969697
HDGS_167,1.29,1.63,1.2635658915
HDGS_169,0.31,6.16,19.8709677419
HDGS_171,0.35,9.06,25.8857142857
HDGS_172,0.58,11.86,20.4482758621
HDGS_173,0.54,11.64,21.5555555556
HDGS_174,2.85,4.99,1.750877193
HDGS_175,0,0.19,na
HDGS_176,0.53,10.8,20.3773584906
HDGS_179,0.14,3.88,27.7142857143
HDGS_180,0.27,4.96,18.3703703704
HDGS_181,0.46,9.22,20.0434782609
HDGS_182,0.53,11.48,21.6603773585
HDGS_185,0,0.14,na
HDGS_186,0.27,0.28,1.037037037
HDGS_187,11.08,3.45,0.3113718412
HDGS_188,0.46,9.84,21.3913043478
HDGS_190,0.11,2.63,23.9090909091
HDGS_191,0.6,0,0
